,Forecast,Predictive Power,MSE Upper,MSE Lower,Running Time
2017-11-15,311977.65625,0.35294117647058826,[5.15149953e+08],[8.97554315e+08],0:01:03.284094
2017-11-16,287801.90625,0.4117647058823529,[6.3511161e+08],[1.49741629e+09],0:00:59.417427
2017-11-17,283134.5,0.4117647058823529,[4.39794573e+08],[1.15442751e+09],0:01:00.986921
2017-11-20,304856.0,0.4117647058823529,[6.35363105e+08],[1.40666614e+09],0:01:16.895112
2017-11-21,316315.46875,0.5294117647058824,[2.70325454e+08],[1.22984599e+09],0:01:06.408374
2017-11-22,318202.1875,0.4117647058823529,[5.18374216e+08],[1.18308668e+09],0:01:18.139536
2017-12-15,299746.84375,0.35294117647058826,[4.30109513e+08],[9.88513675e+08],0:01:05.513065
2017-12-18,314786.03125,0.38235294117647056,[6.81869293e+08],[1.01244617e+09],0:01:08.127436
2017-12-19,312248.375,0.5,[5.25712862e+08],[1.58789966e+09],0:01:16.673117
2017-12-20,297779.0625,0.4117647058823529,[2.95576772e+08],[1.01093369e+09],0:00:59.327403
2017-12-21,286887.71875,0.3235294117647059,[6.02672234e+08],[1.62134496e+09],0:00:57.261707
2017-12-22,314027.875,0.4117647058823529,[6.69532507e+08],[1.35621202e+09],0:01:00.312702
2018-01-15,311853.46875,0.4117647058823529,[5.19166337e+08],[1.64618664e+09],0:01:00.407805
2018-01-16,299683.1875,0.4117647058823529,[6.64677606e+08],[1.45335579e+09],0:01:09.764503
2018-01-17,313685.25,0.4411764705882353,[5.31792213e+08],[1.38625277e+09],0:01:00.720215
2018-01-18,318500.59375,0.47058823529411764,[4.94172331e+08],[1.3632653e+09],0:00:59.946082
2018-01-19,297753.84375,0.35294117647058826,[5.82527049e+08],[1.28307718e+09],0:01:00.482095
2018-01-22,317145.46875,0.4411764705882353,[4.70153743e+08],[1.2516082e+09],0:01:03.998027
2018-01-23,291555.71875,0.35294117647058826,[6.80585942e+08],[1.11841742e+09],0:01:01.514250
2018-01-24,300928.90625,0.4117647058823529,[4.46532233e+08],[1.00048532e+09],0:01:01.008480
2018-01-25,315466.25,0.5294117647058824,[5.04018536e+08],[1.8102168e+09],0:01:00.011408
2018-02-15,224671.71875,0.5,[5.40660709e+08],[1.20695149e+09],0:01:03.211924
2018-02-16,200541.21875,0.47058823529411764,[3.94149837e+08],[8.40195057e+08],0:01:13.066319
2018-02-19,228816.328125,0.29411764705882354,[4.70888586e+08],[1.32076814e+09],0:01:06.432541
2018-02-20,197331.109375,0.4411764705882353,[4.63876686e+08],[1.17930096e+09],0:01:00.695102
2018-02-21,193770.0625,0.47058823529411764,[5.70675007e+08],[1.22814708e+09],0:01:00.821154
2018-02-22,204789.09375,0.35294117647058826,[3.01319242e+08],[1.19282503e+09],0:01:01.103705
2018-02-23,210552.40625,0.5,[5.34176098e+08],[1.1401544e+09],0:01:00.354165
